"vp_year","Canada","China","France","Germany","India","Japan","Korea, Republic of","Russian Federation","Spain","UK","United States","misc. countries","undefined"
1985,1,4,2,14,0,3,2,0,0,1,3,4,177
1986,1,1,2,23,1,1,3,0,1,1,1,8,226
1989,2,1,3,17,0,2,0,3,1,1,3,9,226
1993,4,3,4,24,1,2,2,3,0,0,6,8,228
1994,1,8,4,32,0,8,2,0,2,10,14,19,193
1995,1,6,25,49,0,9,2,1,3,2,19,17,190
1996,3,3,12,34,2,26,5,7,7,17,18,64,167
1997,5,36,15,101,1,35,7,5,9,16,35,70,91
1998,1,10,20,120,5,65,9,8,9,13,28,88,45
1999,5,12,28,127,3,45,12,4,7,44,51,114,21
2000,2,11,25,110,5,59,26,24,4,49,54,87,14
2001,5,22,19,112,0,71,30,24,10,43,55,97,12
2002,14,32,29,118,5,62,19,24,12,73,89,117,20
2003,1,33,26,125,7,69,56,31,20,26,45,158,8
2004,6,40,40,122,15,79,65,34,27,28,69,162,1
2005,8,76,20,135,30,89,119,59,56,29,85,161,1
2006,6,88,42,195,33,109,142,39,40,29,136,164,13
2007,12,88,24,159,21,155,223,41,34,12,83,149,22
2008,6,105,28,152,22,147,177,33,38,20,57,127,0
2009,11,193,32,180,36,110,151,46,38,13,63,141,7
2010,4,139,53,143,36,109,148,64,30,22,49,139,0
2011,9,166,15,127,37,113,146,31,42,16,29,165,2
2012,9,189,26,175,37,75,154,45,26,27,37,155,1
2013,28,223,33,223,58,132,220,37,32,25,88,232,2
2014,17,291,31,135,55,115,216,40,39,8,45,235,0
2015,79,430,35,166,78,102,243,41,36,20,47,182,0
2016,15,404,55,174,68,95,224,35,47,16,99,282,2
2017,14,372,42,120,42,66,269,33,46,56,103,206,2
2018,221,294,19,237,24,76,181,24,21,21,62,173,3
2019,17,410,30,50,14,45,163,25,37,16,25,159,0
2020,264,635,51,278,45,68,211,64,45,19,94,603,8
2021,11,246,33,156,10,51,105,17,24,14,46,126,42
1980,0,1,0,7,0,1,0,0,0,0,0,3,66
1982,0,4,0,15,2,0,0,0,0,0,1,3,146
1983,0,1,2,25,0,3,1,3,1,0,0,7,220
1984,0,4,1,16,2,2,0,0,5,3,1,6,225
1987,0,1,1,20,0,1,2,2,0,0,0,7,136
1988,0,2,0,23,0,4,1,2,0,0,2,7,194
1990,0,7,0,30,0,7,3,0,0,2,1,6,195
1991,0,1,1,17,1,0,1,5,1,2,0,3,195
1981,0,0,1,9,0,4,1,0,0,1,2,1,150
1992,0,0,2,18,0,3,1,1,4,0,4,2,141
